,threshold,precision,recall,f1
0,0.0018089629,1.0,0.0,0.0
1,0.0018563062,1.0,0.0,0.0
2,0.0020696248,1.0,0.0,0.0
3,0.0022502847,1.0,0.0,0.0
4,0.002253354,1.0,0.0,0.0
5,0.0023303041,1.0,0.0,0.0
6,0.0023404944,1.0,0.0,0.0
7,0.0023804633,1.0,0.0,0.0
8,0.0024172212,1.0,0.0,0.0
9,0.0026598133,1.0,0.0,0.0
10,0.002744822,1.0,0.0,0.0
11,0.0027924133,1.0,0.0,0.0
12,0.0028790159,1.0,0.0,0.0
13,0.0028829405,1.0,0.0,0.0
14,0.0029213293,1.0,0.0,0.0
15,0.0029966815,1.0,0.0,0.0
16,0.0030286368,1.0,0.0,0.0
17,0.0032008125,1.0,0.0,0.0
18,0.0032187568,1.0,0.0,0.0
19,0.0032258036,1.0,0.0,0.0
20,0.0032324295,1.0,0.0,0.0
21,0.0032625303,1.0,0.0,0.0
22,0.0033010792,1.0,0.0,0.0
23,0.0033049283,1.0,0.0,0.0
24,0.0033498183,1.0,0.0,0.0
25,0.0033939388,1.0,0.0,0.0
26,0.003442786,1.0,0.0,0.0
27,0.0035369196,1.0,0.0,0.0
28,0.0035581717,1.0,0.0,0.0
29,0.00370096,1.0,0.0,0.0
30,0.0037813042,1.0,0.0,0.0
31,0.0038138144,1.0,0.0,0.0
32,0.0038614243,1.0,0.0,0.0
33,0.004004456,1.0,0.0,0.0
34,0.0040057306,1.0,0.0,0.0
35,0.0040120003,1.0,0.0,0.0
36,0.0042519053,1.0,0.0,0.0
37,0.004345389,1.0,0.0,0.0
38,0.0043872576,1.0,0.0,0.0
39,0.004470661,1.0,0.0,0.0
40,0.004507092,1.0,0.0,0.0
41,0.004589814,1.0,0.0,0.0
42,0.004619553,1.0,0.0,0.0
43,0.004648835,1.0,0.0,0.0
44,0.0046903673,1.0,0.0,0.0
45,0.0047584823,1.0,0.0,0.0
46,0.004798459,1.0,0.0,0.0
47,0.00490252,1.0,0.0,0.0
48,0.0050000874,1.0,0.0,0.0
49,0.005005138,1.0,0.0,0.0
50,0.0051190546,1.0,0.0,0.0
51,0.0051255547,1.0,0.0,0.0
52,0.005128644,1.0,0.0,0.0
53,0.005180548,1.0,0.0,0.0
54,0.0051808017,1.0,0.0,0.0
55,0.0052509373,1.0,0.0,0.0
56,0.0053981217,1.0,0.0,0.0
57,0.0054175467,1.0,0.0,0.0
58,0.0055071735,1.0,0.0,0.0
59,0.005576907,1.0,0.0,0.0
60,0.0057451045,1.0,0.0,0.0
61,0.005780378,1.0,0.0,0.0
62,0.005898574,1.0,0.0,0.0
63,0.0059118336,1.0,0.0,0.0
64,0.0060415263,1.0,0.0,0.0
65,0.0063300882,1.0,0.0,0.0
66,0.006391497,1.0,0.0,0.0
67,0.0064166104,1.0,0.0,0.0
68,0.0065904586,1.0,0.0,0.0
69,0.006653046,1.0,0.0,0.0
70,0.0067352117,1.0,0.0,0.0
71,0.0068353014,1.0,0.0,0.0
72,0.0069185393,1.0,0.0,0.0
73,0.006979446,1.0,0.0,0.0
74,0.007004694,1.0,0.0,0.0
75,0.007209945,1.0,0.0,0.0
76,0.007349266,1.0,0.0,0.0
77,0.0074108248,1.0,0.0,0.0
78,0.007446766,1.0,0.0,0.0
79,0.007567111,1.0,0.0,0.0
80,0.0077693495,1.0,0.0,0.0
81,0.007894901,1.0,0.0,0.0
82,0.0079352455,1.0,0.0,0.0
83,0.007974336,1.0,0.0,0.0
84,0.008071355,1.0,0.0,0.0
85,0.0081425775,1.0,0.0,0.0
86,0.008243139,1.0,0.0,0.0
